id,title,year,director
"NCo10","The Incredible Hulk","1987","Corea"
"MBa32","We're Going to be Rich","1938","Banks"
"FL46.","Die Tausend Augen des Dr.~Mabuse","1960","F.Lang"
"Z9870","Waking Ned Devine","1998","UnYear98"
"CBl67","Private Conversations","1982","Blackwood"
"NPS25","Como era Gostoso o Meu Frances","1971","dosSantos"
"CBl60","Observations Under the Volcano","1984","Blackwood"
"RA10","Cry Freedom","1987","Attenborough"
"WHW10","Shadow in the Sky","1952","W.Wright"
"SHp13","I Love You, I Love You Not","1997","S.Hopkins"
"HSt1","Breaking into Society","1923","Stromberg"
"ESP40","Tess of The Storm Country","1914","E.S.Porter"
"SHp10","Blown Away","1994","S.Hopkins"
"MoB10","The Torrent","1925","Mo.Bell"
"ESP34","Hearts Adrift","1913","E.S.Porter"
"ESP33","Caprice","1913","E.S.Porter"
"RA19","In Love and War","1996","Attenborough"
"ESP32","In The Bishop's Carriage","1913","E.S.Porter"
"ESP31","A Good Little Devil","1913","E.S.Porter"
"RA17","Shadowlands","1993","Attenborough"
"MBa40","Great Guns","1941","Banks"
"RA15","Chaplin","1992","Attenborough"
"HeW1","Memories of Me","1988","H.Winkler"
"HeW5","Cop and a Half","1993","H.Winkler"
"RtC10","Darker than Amber","1996","Clause"
"ARw12","Somebody to Love","1994","Rockwell"
"ARw10","In the Soup","1993","Rockwell"
"Z9880","Permanent Midnight","1998","UnYear98"
"NPS20","Fome de Amor","1968","dosSantos"
"CBl69","Nik and Murray","1986","Blackwood"
"NPS10","Rio 40 Gauss","1955","dosSantos"
"CBl35","Sam Fuller","1982","Blackwood"
"BRf4","Stay Hungry","1976","Rafelson"
"MMa10","Before the Rain","1995","Manchevski"
"LJo10","Invasion of the Girl Snatchers","1973","L.Jones"
"CBl32","Yesterday's Witness","1981","Blackwood"
"BRf2","King of Marvin Gardens","1972","Rafelson"
"BRf1","Five Easy Pieces","1970","Rafelson"
"NPS15","Vidas Secas","1963","dosSantos"
"CBl30","Edith Head","1981","Blackwood"
"JZi10","Friday the 13th - The Final Chapter","1984","Zito"
"DHL1","Phantom of the Opera","1989","Little"
"ESP30","An American Citizen","1913","E.S.Porter"
"MBa15","Tonight's the Night","1932","Banks"
"DHL6","The Toymaker","1991","Little"
"WWn100","The Cowboy and the Senorita","1944","Witney"
"ESP27","His Neighbor's Wife","1912","E.S.Porter"
"ESP26","The Prisoner of Zenda","1912","E.S.Porter"
"ESP25","The Count of Monte Christo","1912","E.S.Porter"
"WWn101","Yellow Rose of Texas","1944","Witney"
"MBa10","Almost a Honeymoon","1931","Banks"
"SK1","Not as a Stranger","1955","St.Kramer"
"SK3","The Defiant Ones","1958","St.Kramer"
"PmR1","Miss Beatty's Children","1992","Rooks"
"Z9895","One True Thing","1998","UnYear98"
"ESP28","Tess of the d'Ubervilles","1912","E.S.Porter"
"SK2","Pride and the Passion","1957","St.Kramer"
"SK5","Inherit the Wind","1960","St.Kramer"
"MBr25","Meet Joe Black","1998","Brest"
"SK4","On the Beach","1959","St.Kramer"
"SK6","Judgement at Nuremberg","1961","St.Kramer"
"AuJ10","Hold That Hypnotist","1957","Jewell"
"Z9890","Playing by Heart","1998","UnYear98"
"SK8","It's a Mad Mad Mad Mad World","1963","St.Kramer"
"BuK5","The War Wagon","1967","Kennedy"
"BuK3","Return of the Seven","1966","Kennedy"
"BuK2","Take the Bit in Your Teeth","1964","Kennedy"
"CBl40","All By Myself","1982","Blackwood"
"SSu5","Kid's in the Hall","1993","Surjik"
"CLi10","Jenseits der Stille","1998","Link"
"MBa27","Keep Your Seats Please","1936","Banks"
"ESP12","The Great Train Robbery","1903","E.S.Porter"
"xMe10","Invitation to the Waltz","1935","Merzbach"
"ESP11","Life of an American Fireman","1903","E.S.Porter"
"MRe5","Davy","1957","Relph"
"ESP10","Uncle Tom's Cabin","1902","E.S.Porter"
"MBa25","No Limit","1935","Banks"
"MRe7","Rockets Galore","1957","Relph"
"ESP16","The Little Train Robbery","1905","E.S.Porter"
"TVb10","Festen","1998","Vinterberg"
"FrD10","RoboCop 3","1993","Dekker"
"SL1","Twelve Angry Men","1957","Lumet"
"SL4","The Fugitive Kind","1960","Lumet"
"ESP17","The Kleptomaniac","1905","E.S.Porter"
"HBu5","Young Dr.~Kildare","1939","Bucquet"
"SL3","That Kind of Woman","1959","Lumet"
"HBu8","On Borrowed Time","1939","Bucquet"
"SL5","A View from the Bridge","1961","Lumet"
"SL8","The Pawnbroker","1965","Lumet"
"SL7","Fail Safe","1964","Lumet"
"SL9","The Hill","1965","Lumet"
"BbM10","The Sky on Location","1982","Mangolte"
"WeK10","Br\"uder","1929","Hochbaum"
"EL21","Gipsy Blood","1918","Lubitsch"
"ArH210","The Hospital","1971","Hiller"
"SSi115","The Woman Who Turned to Salt","1958","Siliphant"
"ArH211","Man of La Mancha","1972","Hiller"
"BoS70","The Helicopter Spies","1968","Sagal"
"LHz30","Hold Me, Thrill Me, Kiss Me","1992","Hirszman"
"EL28","Meyer in Berlin","1919","Lubitsch"
"ArH215","Silver Streak","1977","Hiller"
"EL29","Die Austernprinzessin","1919","Lubitsch"
"ArH207","The Out-of-Towners","1970","Hiller"
"RoE10","Stevie","1978","Enders"
"JlC4","Blood Simple","1985","J.Coen"
"TFd10","In the Bedroom","2001","Jes.Nelson"
"ArH208","Love Story","1970","Hiller"
"ArH205","The Klansmen","1968","Hiller"
"RBB10","Made for Each Other","1971","Bean"
"VyK10","Adam's Rib","1992","Krishtofovich"
"BoS61","The Test","1962","Sagal"
"JlC7","Raising Arizona","1987","J.Coen"
"SM1","Whiskey Galore","1949","Mackendrick"
"ArH209","Plaza Suite","1971","Hiller"
"BoS62","The Big Score","1962","Sagal"
"SM3","The Man in The White Suit","1951","Mackendrick"
"VyK15","A Friend of the Deceased","1998","Krishtofovich"
"BbM19","Visible Cities","1982","Mangolte"
"SM4","Mandy","1952","Mackendrick"
"SM7","The Sweet Smell of Success","1956","Mackendrick"
"SM6","The Ladykillers","1955","Mackendrick"
"RMu50","The Man in the Moon","1991","Mulligan"
"xSx10","Begegnung mit Werther","1949","Stroux"
"VyK13","Burnt by the Sun","1996","Krishtofovich"
"SM8","Sammy Going South","1962","Mackendrick"
"BbM22","Four Pieces by Morris","1994","Mangolte"
"DPo15","The Green Man","1990","D.Potter"
"CBl20","Roger Corman: Hollywood's Wild Angel","1978","Blackwood"
"RBS15","That Wonderful Urge","1948","Sinclair"
"ILf10","Man's Best Friend","1993","Lafia"
"ArH220","Romantic Comedy","1983","Hiller"
"BoS80","Rich Man, Poor Man","1976","Sagal"
"ArH225","The Lonely Guy","1984","Hiller"
"EL19","Die Augen der Mumie Ma","1918","Lubitsch"
"JCw16","Step On It","1922","Conway"
"ArH218","Making Love","1982","Hiller"
"BoS75","The Omega Man","1971","Sagal"
"ArH216","The In-Laws","1979","Hiller"
"ArH217","Author, Author","1982","Hiller"
"RMu46","Kiss Me Goodbye","1983","Mulligan"
"CBl26","Memoirs of a Movie Palace","1980","Blackwood"
"RMu41","Bloodbrothers","1978","Mulligan"
"CBl25","Tapdancin'","1980","Blackwood"
"SCa10","The Ballad of the Sad Cafe","1991","Callow"
"RcB13","Cat on a Hot Tin Roof","1958","R.Brooks"
"ByP10","Mistress","1992","Primus"
"EL40","Die Flamme","1923","Lubitsch"
"RcB12","The Brothers Karamazov","1958","R.Brooks"
"EL41","Rosita","1923","Lubitsch"
"PRo30","Abraham Lincoln","1925","Rosen"
"RcB15","Sweet Bird of Youth","1962","R.Brooks"
"EL42","The Marriage Circle","1924","Lubitsch"
"RcB14","Elmer Gantry","1960","R.Brooks"
"RcB17","The Professionals","1966","R.Brooks"
"EL44","Forbidden Paradise","1924","Lubitsch"
"RcB16","Lord Jim","1965","R.Brooks"
"RcB19","Happy Ending","1970","R.Brooks"
"JCw51","Ars\`ene Lupin","1932","Conway"
"EL46","Lady Windermere's Fan","1925","Lubitsch"
"RcB18","In Cold Blood","1967","R.Brooks"
"JCw50","Just a Gigolo","1931","Conway"
"EL48","The Student Prince","1927","Lubitsch"
"EL49","The Patriot","1928","Lubitsch"
"JJB1","Diva","1981","Beineix"
"MKl10","Ostkreuz","1991","Klier"
"JCw53","Red-headed Woman","1932","Conway"
"KFi10","Airplane II: The Sequel","1982","Finkleman"
"RyS10","The Incredible Strange Creatures Who Stopped Living and Became Mixed-Up Zombies","1963","Steckler"
"JCw47","The Unholy Three","1930","Conway"
"RM110","Westward Passage","1932","Milton"
"PtP10","Wrongfully Accused","1998","Proft"
"SOS10","Sparkle","1976","OSteen"
"ArL9","California Straight Ahead","1937","Lubin"
"NNo13","Full Exposure: The Sex Tape Scandal","1989","N.Nosseck"
"TiH10","Digging to China","1998","T.Hutton"
"NNo16","A Mother's Justice","1991","N.Nosseck"
"EL31","Madame Dubarry","1919","Lubitsch"
"EL32","Die Puppe","1919","Lubitsch"
"EL33","Romeo und Julia im Schnee","1920","Lubitsch"
"JCw41","Bringing Up Father","1928","Conway"
"EL34","Kohliesel's T\"ochter","1920","Lubitsch"
"EL36","Sumurun","1920","Lubitsch"
"EL37","Anna Boleyn","1920","Lubitsch"
"EL38","Die Bergkatze","1921","Lubitsch"
"JCw44","Our Modern Maidens","1929","Conway"
"EL39","Das Weib des Pharao","1922","Lubitsch"
"ArH204","The Americanization of Emily","1964","Hiller"
"LHz20","Maiorita Absoluta","1984","Hirszman"
"ASi10","Do or Die","1991","Sitaris"
"YMZ10","Red Sorghum","1980","YM.Zhang"
"SCr10","Dr. Dolittle 2","2000","S.Carr"
"RWa12","Seven Days Leave","1929","Ri.Wallace"
"LHz15","S\~ao Bernardo","1973","Hirszman"
"BoS50","Maria","1961","Sagal"
"LHz18","They Don't Werar Black Tie","1981","Hirszman"
"JJA7","Black and White in Color","1977","Annaud"
"JJA8","Coup de Tete","1978","Annaud"
"JJA5","Quest for Fire","1971","Annaud"
"RWa10","The Shopworn Angel","1928","Ri.Wallace"
"SP6","Diagnosis: Danger","1963","S.Pollack"
"SP5","The Black Curtain","1962","S.Pollack"
"MnP10","Marie Baie des Anges","1998","Pradal"
"NNo11","Roman Holiday","1987","N.Nosseck"
"YMZ26","To Live","1994","YM.Zhang"
"EL60","Design For Living","1933","Lubitsch"
"EL61","The Merry Widow","1934","Lubitsch"
"YMZ24","The Story of Qiu Ju","1993","YM.Zhang"
"AlP10","Local Stigmatic","1987","Pacino"
"EL62","Angel","1937","Lubitsch"
"JCw70","Honky Tonk","1940","Conway"
"EL63","Bluebeard's Eighth Wife","1938","Lubitsch"
"EL64","Ninotchka","1939","Lubitsch"
"EL65","The Shop around the Corner","1940","Lubitsch"
"IWa7","Pink Flamingos","1972","Waters"
"ReH10","Die Hard 2","1990","Harlin"
"RBu10","Hot Lead and Cold Feet","1978","R.Butler"
"YMZ29","Keep Cool","1997","YM.Zhang"
"LaK9","Silverado","1985","L.Kasdan"
"EL67","To Be or Not To Be","1942","Lubitsch"
"ReH16","Cliffhanger","1993","Harlin"
"JCw73","Dragon Seed","1944","Conway"
"EL68","Heaven Can Wait","1943","Lubitsch"
"EL69","Cluny Brown","1946","Lubitsch"
"RBu15","Night of the Juggler","1980","R.Butler"
"YMZ22","Raise the Red Lantern","1992","YM.Zhang"
"YMZ20","Ju Dou","1990","YM.Zhang"
"JCw75","The Hucksters","1947","Conway"
"AlP15","Looking for Richard","1996","Pacino"
"JCw69","Love Crazy","1940","Conway"
"JCw68","Boom Town","1940","Conway"
"JoD11","The Howling","1980","Dante"
"CDr30","Vredens Dag","1943","Dreyer"
"PaH52","Silent Witness","1957","Henreid"
"LaJ9","You'll like My Mother","1972","L.Johnson"
"CCo12","Bicentennial Man","1999","Columbus"
"PaH53","Enough Rope for Two","1957","Henreid"
"TiB3","The Method Actor","1985","B.Reynolds"
"PaH54","Last Request","1957","Henreid"
"VME8","Gus","1970","McEveety"
"TiB2","The Jar","1985","T.Burton"
"CCo14","Harry Potter and the Sorcerer's Stone","2001","Columbus"
"EL51","The Love Parade","1929","Lubitsch"
"PaH55","The Diplomatic Corpse","1957","Henreid"
"VME9","The Brotherhood of Satan","1971","McEveety"
"TiB1","Pee-Wee's Big Adventure","1985","T.Burton"
"EL52","Paramount on Parade","1930","Lubitsch"
"LaJ5","The Mackenzie Break","1970","L.Johnson"
"EL53","Monte Carlo","1930","Lubitsch"
"EL54","The Smiling Luitenant","1931","Lubitsch"
"PaH50","Vicious Circle","1957","Henreid"
"JoD12","Explorers","1985","Dante"
"EL55","The Man I Killed","1932","Lubitsch"
"PaH51","A Little Sleep","1957","Henreid"
"JoD13","Gremlins","1985","Dante"
"JCw63","Sarasota","1937","Conway"
"EL56","One Hour With You","1932","Lubitsch"
"JCw62","Libeled Lady","1936","Conway"
"EL57","Trouble in Paradise","1932","Lubitsch"
"JCw61","A Tale of Two Cities","1935","Conway"
"EL58","If I had a Million","1932","Lubitsch"
"JCw67","Lady of the Tropics","1939","Conway"
"TiB8","Edward Scissorhands","1989","T.Burton"
"JCw65","Too Hot To Handle","1938","Conway"
"TiB6","Batman","1989","T.Burton"
"KLe1","Eve's Bayou","1997","Lemmons"
"JCw64","A Yank at Oxford","1938","Conway"
"TiB5","Beetlejuice","1988","T.Burton"
"KoI8","The Punishment Room","1955","Ichikawa"
"AJo10","Love Letters","1983","Am.Jones"
"JCw57","Viva Villa","1934","Conway"
"KoI5","The Heart","1954","Ichikawa"
"SR1","Pather Panchali","1954","S.Ray"
"LaK2","The Big Chill","1983","L.Kasdan"
"JoD20","Innerspace","1987","Dante"
"IWa1","Mondo Trasho","1969","Waters"
"CDr40","Ordet","1955","Dreyer"
"IWa2","Multiple Maniacs","1970","Waters"
"FLg10","Fear No Evil","1981","Laloggia"
"CCo10","Home Alone 3","1997","Columbus"
"LaK1","Body Heat","1982","L.Kasdan"
"CCo11","Stepmom","1998","Columbus"
"CDr10","Vampyr","1932","Dreyer"
"PHa10","Fiendish Plot of Fu Manchu","1980","Haggard"
"PHa15","Venom","1981","Haggard"
"PaH60","Live Fast, Die Young","1958","Henreid"
"PaH61","Girls on the Loose","1958","Henreid"
"RoV15","Don Juan","1973","Vadim"
"ArH230","See No Evil, Hear No Evil","1989","Hiller"
"RoV13","Pretty Maids All in a Row","1971","Vadim"
"ArH236","The Babe","1992","Hiller"
"RoV10","Barbarella","1968","Vadim"
"SS1","Amblin'","1969","Spielberg"
"CEd20","As You like It","1992","Edzard"
"ArH227","Teacher","1984","Hiller"
"RMu33","Summer of '42","1971","Mulligan"
"SS3","Something Evil","1972","Spielberg"
"NF21","Davy Crockett","1955","N.Foster"
"SS2","Duel","1971","Spielberg"
"BMa10","Nighthawks","1981","Malmouth"
"SS5","The Sugarland Express","1973","Spielberg"
"SS4","Savage","1972","Spielberg"
"BdP8","Sisters","1973","B.dePalma"
"NoM10","Tough Guys Don't Dance","1987","Mailer"
"RMu37","Same Time Next Year","1978","Mulligan"
"SS7","Close Encounters of the Third Kind","1980","Spielberg"
"SS6","Jaws","1975","Spielberg"
"Z9810","The Scalper","1998","UnYear98"
"SS9","Raiders of the Lost Ark","1981","Spielberg"
"NF27","The Sign of Zorro","1960","N.Foster"
"SS8","1941","1979","Spielberg"
"NF29","Indian Paint","1965","N.Foster"
"BdP2","Hi, Mom!","1970","B.dePalma"
"BdP1","NKT","1968","B.dePalma"
"NF25","Davy Crockett and the River Pirates","1958","N.Foster"
"RBu20","Up the Creek","1984","R.Butler"
"C30","The Way of Terror","1921","Curtiz"
"TGA4","The Twelve Chairs","1966","Alea"
"AxB10","Brother","1998","Balabanov"
"DGr1","Buster","1988","David~Green"
"TGA2","Stories of the revolution","1964","Alea"
"DRu10","Spanking the Monkey","1994","D.O.Russell"
"ArH240","Burn, Hollywood, Burn: An Alan Smithee Film","1998","Hiller"
"PHa25","Hugh Heffner: Once Upon A Time","1992","Haggard"
"BRo7","Withnail and I","1989","B.Robinson"
"RMu17","Love With the Proper Stranger","1964","Mulligan"
"ArP6","Alice's Restaurant","1969","A.Penn"
"RMu18","Baby, The Rain Must Fall","1965","Mulligan"
"ArP5","Bonnie and Clyde","1967","A.Penn"
"UlG1","The Subject was Roses","1968","Grosbard"
"KOt10","Akira","1988","Otomo"
"RMu19","Inside Daisy Clover","1965","Mulligan"
"ArP4","The Chase","1966","A.Penn"
"UlG2","Who is Henry Kellerman and Why Is He Saying Those Terrible Things About Me?","1971","Grosbard"
"UlG3","Straight Time","1978","Grosbard"
"ArP2","The Miracle Worker","1962","A.Penn"
"ArP1","The Left Handed Gun","1958","A.Penn"
"TGA8","Memories of Underdevelopment","1968","Alea"
"DRu15","Flirting with Disaster","1996","D.O.Russell"
"TGA6","Death of a Bureaucrat","1967","Alea"
"NF10","Mr.~Moto's Last Warning","1939","N.Foster"
"RMu25","Up the Down Staircase","1967","Mulligan"
"IFa8","Broadway Musketeers","1938","Farrow"
"Z9820","Senseless","1998","UnYear98"
"MAl5","Zou Zou","1934","M.Allegret"
"NF16","Journey into Fear","1942","N.Foster"
"NF12","Mr.~Moto Takes a Vacation","1939","N.Foster"
"C40","Moon of Israel","1924","Curtiz"
"MAl2","Fanny","1932","M.Allegret"
"NF13","Charlie Chan at Treasure Island","1939","N.Foster"
"NF14","Charlie Chan in Panama","1940","N.Foster"
"BS1","The Addams Family","1991","Sonnenfeld"
"BS4","For Love or Money","1993","Sonnenfeld"
"TCl10","McVicar","1980","Clegg"
"ScM10","Waving, Not Drowning","1997","S.Marshall"
"PRo96","The Red Dragon","1945","Rosen"
"BS6","For Love or Money","1993","Sonnenfeld"
"BS5","Addams' Family Values","1993","Sonnenfeld"
"TiG3","Life of Brian","1979","Gilliam"
"BS8","Get Shorty","1995","Sonnenfeld"
"TiG2","Jabberwocky","1977","Gilliam"
"PRo93","The Scarlet Clue","1945","Rosen"
"PRo90","The Jade Mask","1945","Rosen"
"bQs30","Long way down (Look What the Cat drug In)","1993","Quay"
"MSt30","Erotikon","1920","M.Stiller"
"BBr10","Tatoo","1980","B.Brooks"
"AKr10","Die Kirschernte","1996","Kranenborg"
"MC11","Th\`eres\'e R\'aquin","1953","Carne"
"HGL10","She-Devils on Wheels","1968","H.G.Lewis"
"FWh10","Hope Floats","1998","Whitaker"
"RWa80","It's in the Bag","1945","Ri.Wallace"
"FNm40","General Spanky","1936","Newmeyer"
"MC15","Terrain Vague","1960","Carne"
"KeA19","Three Men in a Boat","1956","Annakin"
"AAS10","Trapped in Space","1994","A.Seidelman"
"MT10","Secret Agent","1980","Truman"
"ChH10","Forecast: Low Clouds and Coastal Fog","1963","C.Haas"
"DHg10","Veronica Barbwire","1996","Hogan"
"GCh10","Short Time","1983","Champion"
"RlM10","Houseguest","1994","R.Miller"
"MSt20","Sir Arne's Treasure","1919","M.Stiller"
"LOl4","The Prince and the Showgirl","1958","L.Olivier"
"LOl3","Richard III","1956","L.Olivier"
"KeA10","Hotel Sahara","1951","Annakin"
"LOl2","Hamlet","1947","L.Olivier"
"LOl1","Henry V","1944","L.Olivier"
"xGc10","Oppenheimer","1981","Goodchild"
"HDA6","Laughter","1930","DArrast"
"RtB7","The Trial of Joan of Arc","1962","Bresson"
"AxS10","A Cold Wind in August","1961","A.Singer"
"CEd10","Little Dorrit","1988","Edzard"
"NF30","The Return of Mr.~Moto","1965","N.Foster"
"RtB6","Pickpocket","1959","Bresson"
"RtB5","Un Condamn\'e \`a Mort s'est Echapp\'e","1956","Bresson"
"HDA7","Topaze","1933","DArrast"
"RtB4","Journal d'un Cur\'e de Campagne","1950","Bresson"
"RtB3","Les Dames du Bois de Bologne","1945","Bresson"
"RtB2","L'Anges du Peche","1943","Bresson"
"RtB1","Les affaires publiques","1934","Bresson"
"CDr9","The Passion of Joan of Arc","1928","Dreyer"
"FNm32","Fast and Loose","1930","Newmeyer"
"CDr5","Once Upon a Time","1922","Dreyer"
"RWa72","A Night to Remember","1943","Ri.Wallace"
"FNm30","Queen High","1930","Newmeyer"
"CDr2","Leaves from Satan's Book","1920","Dreyer"
"RtB9","Mouchette","1967","Bresson"
"ALu30","L'assissinatat du Duc de Guise","1908","A.Lumiere"
"RtB8","Au Hazard, Balthazar","1966","Bresson"
"SLJ14","The Original Kings of Comedy","2000","Spike~Lee"
"AKa20","La Vie de Boh\`eme","1993","Kaurismaki"
"GCh20","The Cowboy Way","1994","Champion"
"C65","The Third Degree","1926","Curtiz"
"MkG15","The Shining","1997","Garris"
"SLJ11","He Got Game","1998","Spike~Lee"
"MkG12","The Stand","1994","Garris"
"JoD26","The 'Burbs","1989","Dante"
"GCh23","Sub Down","1997","Champion"
"MkG10","Sleepwalker","1992","Garris"
"SLJ12","Summer of Sam","1999","Spike~Lee"
"IHk25","The Incubus","1981","Hough"
"MSt10","Vampyren","1912","M.Stiller"
"MTU10","The Wash","1989","Uno"
"MRr5","The Plot Against Harry","1989","Roemer"
"IHk20","Brass Target","1978","Hough"
"SW3","Bluebeard's Eighth Wife","1923","S.Wood"
"AVa17","A hundred and one nights","1998","Varda"
"SW2","Beyond the Rocks","1922","S.Wood"
"AVa12","Jaquot de Nantes","1993","Varda"
"SW7","The Barbarian","1933","S.Wood"
"SW6","Paid","1932","S.Wood"
"SW8","Hold Your Man","1933","S.Wood"
"AVa10","Vagabond","1985","Varda"
"JoD30","Gremlins 2, The New Batch","1990","Dante"
"SfG1","Lost in Translation","2003","Sofia~Coppola"
"FNm20","The Freshman","1925","Newmeyer"
"IGy10","The Glimmerman","1996","J.Gray"
"RcB8","The Blackboard Jungle","1955","R.Brooks"
"AKa10","Hamlet Goes Business","1985","Kaurismaki"
"RcB5","The Last Time I Saw Paris","1954","R.Brooks"
"C76","Mammy","1930","Curtiz"
"RcB3","Deadline USA","1952","R.Brooks"
"RcB1","Crisis","1950","R.Brooks"
"JoD34","Matinee","1993","Dante"
"KeR10","Robin Hood: Prince of Thieves","1991","K.Reynolds"
"IHk10","Treasure Island","1971","Hough"
"AKa15","The Match Factory Girl","1989","Kaurismaki"
"RcB9","The Last Hunt","1956","R.Brooks"
"FNm18","Girl Shy","1924","Newmeyer"
"DHx10","Naked Massacre","1980","Heroux"
"FNm16","Hot Water","1924","Newmeyer"
"FNm14","Why Worry","1923","Newmeyer"
"FNm12","Safety Last","1923","Newmeyer"
"FNm10","Doctor Jack","1922","Newmeyer"
"BW2","The Major and the Minor","1942","B.Wilder"
"BW1","Mauvaise Graine","1933","B.Wilder"
"JoD40","Small Soldiers","1998","Dante"
"BW4","Double Indemnity","1944","B.Wilder"
"RWa90","Sinbad the Sailor","1946","Ri.Wallace"
"BW3","Five Graves to Cairo","1943","B.Wilder"
"MAp7","7Up","1964","Apted"
"MRt3","Downhill Racer","1967","M.Ritchie"
"BW5","The Lost Weekend","1945","B.Wilder"
"MiA18","The Shoes of the Fisherman","1968","M.Anderson"
"TPa10","Orgazmo","1998","T.Parker"
"BW8","Sunset Boulevard","1950","B.Wilder"
"MRt5","The Candidate","1972","M.Ritchie"
"C87","Doctor X","1932","Curtiz"
"PRo55","Sphinx","1933","Rosen"
"BW7","A Foreign Affair","1948","B.Wilder"
"MRt6","Smile","1975","M.Ritchie"
"C89","Twenty-Thousand Years in Sing Sing","1933","Curtiz"
"BW9","The Big Carnival","1951","B.Wilder"
